case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,53.75131399517904,53.33116318310966,54.37186131978818
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,121.0001736219892,120.24815681593856,124.11866606799771
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,164.28687493204148,155.089680695346,174.96973662585975
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,516.4445562147389,514.3194703205265,523.7942342182181
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,8365.589659365574,8217.193324575088,8547.592177102884
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2858.7395147520983,2625.191020226134,3091.9480623745562
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3135.2816493912696,3119.269347578924,3158.2013381515203
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2841.1635965320147,2628.8135377426597,3037.285983066792
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,10.950480945404838,10.839858216941446,11.16782636099481
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,693.2927810463082,662.5472009163105,723.5212520199993
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,1614.5692952643403,1609.5308607226436,1623.5905137827344
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2381.832070328245,2336.7842684037264,2426.0670776012403
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,2010.6085328731792,1895.5650851984808,2123.5332499257815
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,134.44684591861986,130.75823883625682,138.7005712757985
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,1145.3840501068032,1127.9009608611118,1159.7766741039088
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,4286.860870794964,4191.617953764972,4328.857924560948
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1447.651568880341,1442.717484392797,1453.5640751955038
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,4892.609388806455,4800.21166342949,5007.426962918481
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,6871.138964598866,6726.372765156607,7020.6769565369905
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,2311.9298595458313,2233.2934986385753,2399.236072648804
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,2763.523110967476,2741.5384562729314,2781.5029531525774
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,20,2,6097.977769604352,6016.356631794132,6232.6545743289535
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,123905.80996739227,118801.12574139977,125202.71875
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,20,2,32595.561736641914,31644.064832384567,33919.696322657175
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,65102.82151764918,64251.70754414125,66634.74067909454
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,68808.12003110722,67612.77676460655,74013.09907578558
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,20,2,280369.1407563025,279909.31145251397,282228.9647887324
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,20,2,43161.441648959226,42632.01788756388,45234.20429378531
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,97061.75821540234,96342.28922040423,98109.42136207741
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,13568.919319002494,13134.89263682898,14294.62696372465
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,16820.52396557698,16582.32272764935,17362.99939273011
