case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,1,701.1577370221137,700.2742815734845,702.0614683941343
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1333.8751451490198,1333.4012586255221,1334.7682220412958
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1634.5937408348814,1633.4527079870954,1637.4919917228794
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,1076.4508507378437,1075.2539795177809,1078.5475956240089
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,1,829.1461187214611,827.2700699654528,836.2409432686765
asum+4096+uniform,ok,direct,arithmetic,policy,10,1,322.44870520995767,321.24250568132084,330.14747444621304
sum+4096+uniform,ok,direct,arithmetic,policy,10,1,295.0837737726506,293.9005660260366,295.96255576847557
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,1,6377.6266047484705,6345.585856024345,6441.778806225631
iamax+64+uniform,ok,direct,arithmetic,policy,10,1,59.185954,58.945333,59.379403
iamax+128+uniform,ok,direct,arithmetic,policy,10,1,108.41765699999999,108.178826,108.585623
iamax+256+uniform,ok,direct,arithmetic,policy,10,1,120.387822,118.756994,122.227074
iamax+512+uniform,ok,direct,arithmetic,policy,10,1,301.20430188214846,300.97134679947715,302.02524939480395
iamax+1024+uniform,ok,direct,arithmetic,policy,10,1,339.7335846332486,338.7720066196075,340.95684996577825
iamax+4096+uniform,ok,direct,arithmetic,policy,10,1,618.6680301765451,617.6816281730204,622.3864916674396
iamax+65536+uniform,ok,direct,arithmetic,policy,10,1,6454.204713285815,6429.87876452835,6468.052237847557
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2898.2758121489373,2894.9380971683363,2907.190674040188
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2418.045916642519,2414.2378175408094,2437.214394378441
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2421.987764971969,2414.2774836986596,2449.1876157936526
rotmg+1+uniform,ok,direct,arithmetic,policy,10,1,46.8843615,46.702809,47.772463
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,10,1,702.1399708741271,701.1786995122294,703.4687826788785
dot4+4096+uniform,ok,composed,arithmetic,policy,10,1,1669.2422911893354,1667.529231410123,1670.8782753593002
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,2352.7927521218617,2350.6519087923343,2355.825012654652
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,10,1,1672.1859937683253,1670.640550993643,1673.2813358839205
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,10,1,680.602919864104,678.5990795453389,686.0181749067497
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,2097.0940833123373,2095.8742441421014,2105.706002771479
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,8211.265830052493,8191.582718175853,8325.416994750656
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,10,1,2493.3972744769353,2491.145638542249,2496.0122058732227
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,9154.72981109528,9138.40938548513,9199.615480075377
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,15380.331346477153,15299.914259513984,15412.914641601712
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,6430.069356913184,6416.299742765274,6476.247942122187
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,6192.725894048148,6189.383884901226,6240.9515975354125
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,policy,10,1,15690.011192271442,15581.654256990261,15892.32288721332
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,256822.39010282778,256325.6786632391,259237.47300771208
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,policy,10,1,71976.66390788053,71694.71212666426,72097.55055775458
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,policy,10,1,144217.14727011495,143411.2155172414,147287.6537356322
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,policy,10,1,142342.6330502477,140821.76008492569,143543.6390658174
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,policy,10,1,285999.4576757533,282434.3199426112,287569.1649928264
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,policy,10,1,90465.11053109396,89782.21516114389,91815.55424421244
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,policy,10,1,188287.37090739008,187446.33115060805,195473.34892422825
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,48963.09503424658,48772.77128180039,49214.86863992172
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,55528.85821102188,55362.07034062587,56197.24009969537
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,policy,10,1,41514.069539160984,41475.60839016326,41596.224426534405
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,policy,10,1,49391.07969215492,49078.36693147964,50527.28003972195
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,96.507351,96.27935,97.200864
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,raw-tile,c-tile,10,1,94.68538,94.480486,96.519557
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,raw-tile,c-tile,10,1,84.113831,83.95692,84.425633
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,raw-tile,c-tile,10,1,57.5815615,57.523407,57.735732
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,raw-tile,c-tile,10,1,133.0475165,132.557793,133.726883
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,raw-tile,c-tile,10,1,133.363448,133.24537,133.689201
gemm-tile+8x4x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-tile+7x2x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+4x32+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,577.2442588395872,576.1796338903399,578.5020315429072
pack-left+3x31+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,545.2363398763987,544.0226838365413,547.107810840979
pack-right+32x4+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,589.0058106395986,587.8209348410971,590.579637510595
pack-right+31x2+uniform+packed=4x4,ok,unsupported,packing-only,portable-layout,10,1,504.7855316016353,503.4752716951348,506.6161711729944
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,ok,unsupported,packing-only,portable-layout,10,1,192.2177215,192.074322,192.372013
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,ok,unsupported,packing-only,portable-layout,10,1,187.15958799999999,186.484937,188.959377
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,unsupported,packing-only,portable-layout,10,1,210.13486342126964,209.7583304884902,210.49087987059028
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,ok,unsupported,packing-only,portable-layout,10,1,203.6556783039511,203.00146697915847,204.88779041634996
write-left+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,249.56621375064708,248.64206523614735,252.14348374425236
write-left+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,302.2847410541033,301.06276138650856,305.79499764978124
write-right+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,228.57471479817002,228.23694424365956,229.06229095300736
write-right+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,298.63722552027014,296.8290336106636,299.39413854743674
clear-left-padding+3x31+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,400.4181564687537,399.18176085899074,400.8275332640728
clear-left-padding+4x32+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,92.0884775,91.729873,92.497576
clear-right-padding+31x2+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,414.7003781228899,414.3262805796499,415.4235765854672
clear-right-padding+32x4+uniform+packed=4x4,ok,unsupported,layout-only,portable-layout,10,1,94.7698575,94.475622,95.334352
pack-left+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-left+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-right+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-right+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-symmetric-left+8x8+uniform+packed=8x4+uplo=L,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=8x4+uplo=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-triangular-left+8x8+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,arithmetic,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-left+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-left+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-right+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
write-right+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-left-padding+7x31+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-left-padding+8x32+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=8x4,unsupported,unsupported,arithmetic,unavailable,0,0,,,
spdot+4096+sparse-uniform+density=0.01,ok,direct,arithmetic,policy,10,1,68.947428,68.730918,69.821153
spdot-raw+64+sparse-uniform+density=0.125,ok,unsupported,arithmetic,policy,10,1,56.462497,56.386907,56.848299
spdot-raw+4096+sparse-uniform+density=0.0625,ok,unsupported,arithmetic,policy,10,1,397.539026959393,396.6196802769494,402.79314142488226
spdot-raw+65536+sparse-uniform+density=0.015625,ok,unsupported,arithmetic,policy,10,1,1877.9406000946178,1850.126451108119,1892.2158648422433
spdot-raw+262144+sparse-uniform+density=0.03125,ok,unsupported,arithmetic,policy,10,1,14791.55180330297,14299.87425016663,15405.370658372214
spdot-sparse+4096+sparse-uniform+density=0.01,ok,unsupported,arithmetic,policy,10,1,131.4932555,130.465405,132.71902
spaxpy+4096+sparse-uniform+density=0.01,ok,direct,reset-and-arithmetic,policy,10,1,756.7140365482921,755.1745857144472,758.1412997208588
spaxpy-raw+64+sparse-uniform+density=0.125,ok,unsupported,reset-and-arithmetic,policy,10,1,77.5606115,76.795344,78.18399
