case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,20,2,5384.512237672801,5349.707028327098,5405.305928426738
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2463.2237006614314,2438.6835071390283,2488.0152038786673
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,2450.653031441012,2421.1837297650445,2473.9213359538203
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,1857.2728916489295,1828.6880722209023,1880.759724088675
nrm2+4096+uniform,ok,direct,arithmetic,policy,20,2,5322.011938375989,5314.568735229294,5342.556353443673
asum+4096+uniform,ok,direct,arithmetic,policy,20,2,5300.78144722145,5296.41158100884,5309.81966038737
sum+4096+uniform,ok,direct,arithmetic,policy,20,2,5291.218034159395,5288.155415224456,5295.486231251488
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,20,2,6333.313915686742,6312.63952058035,6365.124419713831
iamax+64+uniform,ok,direct,arithmetic,policy,20,2,35.2330624613762,35.109697582134004,35.85299193832248
iamax+128+uniform,ok,direct,arithmetic,policy,20,2,61.68911750940268,61.00999552807573,62.43021764049938
iamax+256+uniform,ok,direct,arithmetic,policy,20,2,115.31053297427496,114.23338320336872,115.64530550124114
iamax+512+uniform,ok,direct,arithmetic,policy,20,2,221.611174794199,221.42273227671285,223.85405226499927
iamax+1024+uniform,ok,direct,arithmetic,policy,20,2,450.28987512841536,445.82838755092996,459.95219852321014
iamax+4096+uniform,ok,direct,arithmetic,policy,20,2,1780.5640631472825,1765.3786010408398,1793.4157847099625
iamax+65536+uniform,ok,direct,arithmetic,policy,20,2,35143.593277849635,32426.02786779002,38157.66088448342
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3840.235797347106,3829.009314513044,3850.317929084018
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,5035.016240197625,4991.008900745469,5041.809904032644
rotm+4096+uniform,ok,direct,reset-and-arithmetic,policy,20,2,5817.001501968819,5807.922891636194,6065.6404303682375
rotmg+1+uniform,ok,direct,arithmetic,policy,20,2,34.648861908304184,32.99359819305166,40.03446214330618
ssqd+4096+uniform,ok,unsupported,arithmetic,policy,20,2,6128.017306289763,6122.110064239829,6133.882279024151
dot4+4096+uniform,ok,composed,arithmetic,policy,20,2,6857.970227581307,6784.656554015118,7176.56157900398
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,8496.028755121275,8423.040530303031,8555.796486278534
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,policy,20,2,7518.29437400339,7515.027672436451,7556.120791182244
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,policy,20,2,392.42645496767676,390.8874757827636,447.40572925748575
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,policy,20,2,2191.91881150434,2165.67551453243,2252.3744513224538
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,11875.545011531663,11681.375612888163,11919.41450777202
ger+129x31+uniform,ok,direct,reset-and-arithmetic,policy,20,2,3838.7377746272427,3692.2766769980076,4047.172170431336
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,policy,20,2,12853.775118223868,12831.53503878951,12892.113214837713
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,policy,20,2,18617.46493877419,18567.65271850065,18800.193236261155
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,policy,20,2,6419.85215586394,6403.406718924972,6439.050931437212
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,policy,20,2,8686.183487413102,8679.2118386817,8734.685732984293
