case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,policy,10,2,1184.4853049377325,1169.194029330623,1210.198482145557
axpy+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2050.0815738811775,1994.4719471292199,2114.068483055576
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,2228.3786957605616,2216.5240320722955,2241.611898175628
scal+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,1856.0948558699083,1839.8073542930686,1874.291143389618
nrm2+4096+uniform,ok,direct,arithmetic,policy,10,2,763.5466371406181,754.8738710200511,779.4564843226741
asum+4096+uniform,ok,direct,arithmetic,policy,10,2,536.8194089325482,531.8911593370965,542.0478317276571
sum+4096+uniform,ok,direct,arithmetic,policy,10,2,363.8478982538536,359.5045853430699,366.5611266377785
compensated-sum+4096+uniform,ok,unsupported,arithmetic,policy,10,2,5654.134961380443,5639.2027895181745,6060.847101932045
iamax+64+uniform,ok,direct,arithmetic,policy,10,2,30.891123520104628,30.771497603779217,31.163222357804024
iamax+128+uniform,ok,direct,arithmetic,policy,10,2,54.27351786814992,53.99280322073259,54.976820673707905
iamax+256+uniform,ok,direct,arithmetic,policy,10,2,94.33989938504595,93.4383381394832,95.8569513920124
iamax+512+uniform,ok,direct,arithmetic,policy,10,2,187.39635100873767,186.7318459261913,189.53930302838023
iamax+1024+uniform,ok,direct,arithmetic,policy,10,2,280.08246027444085,278.2611761205319,282.6985666455499
iamax+4096+uniform,ok,direct,arithmetic,policy,10,2,841.3332741159284,830.8839220472964,856.6023903532174
iamax+65536+uniform,ok,direct,arithmetic,policy,10,2,12223.76731141582,12138.41878942261,12460.068238367754
swap+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,3341.2203266059323,3286.89330444346,3383.2749171681653
rot+4096+uniform,ok,direct,reset-and-arithmetic,policy,10,2,4098.730881247786,4079.468180521016,4124.2814013395155
