case,status,comparison_kind,timing_mode,actual_kernel,samples,forks,median_ns,min_ns,max_ns
dot+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,779.93853759765625,779.63005065917969,780.34986114501953
axpy+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1948.3491821289062,1941.5634613037109,1949.1546630859375
axpy-arithmetic+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1945.6376953125,1943.1249542236328,1952.3786468505859
scal+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1584.5260009765625,1583.638427734375,1584.9896545410156
nrm2+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,1278.3845977783203,1275.2816696166992,1289.1169204711914
asum+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,472.89702224731445,472.26329040527344,474.97041702270508
sum+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,379.24118423461914,379.07382583618164,380.02258110046387
compensated-sum+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
iamax+64+uniform,ok,direct,arithmetic,vendor-cblas,5,1,52.790194999999997,52.364683999999997,52.873052000000001
iamax+128+uniform,ok,direct,arithmetic,vendor-cblas,5,1,81.756377999999998,81.576096000000007,82.114175000000003
iamax+256+uniform,ok,direct,arithmetic,vendor-cblas,5,1,100.76357400000001,100.279611,100.84894199999999
iamax+512+uniform,ok,direct,arithmetic,vendor-cblas,5,1,229.47167587280273,229.39588165283203,229.51533317565918
iamax+1024+uniform,ok,direct,arithmetic,vendor-cblas,5,1,303.91789817810059,302.7956714630127,304.2016658782959
iamax+4096+uniform,ok,direct,arithmetic,vendor-cblas,5,1,816.22183990478516,815.28335571289062,819.60785675048828
iamax+65536+uniform,ok,direct,arithmetic,vendor-cblas,5,1,11226.980041503906,11223.440795898438,11261.53564453125
swap+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,3411.1774597167969,3410.2077941894531,3420.0196228027344
rot+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,3444.0638732910156,3432.7480163574219,3446.6901245117188
rotm+4096+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,5078.7392272949219,5066.8731994628906,5085.0353393554688
rotmg+1+uniform,ok,direct,arithmetic,vendor-cblas,5,1,51.520935999999999,50.887358999999996,52.260576
ssqd+4096+uniform,unsupported,unsupported,arithmetic,unavailable,0,0,,,
dot4+4096+uniform,ok,composed,arithmetic,vendor-cblas,5,1,3195.177978515625,3193.8070068359375,3198.2430114746094
axpy4+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,5,1,4958.4683837890625,4937.7481384277344,4960.1509399414062
dot-axpy+4096+uniform,ok,composed,reset-and-arithmetic,vendor-cblas,5,1,2681.5431671142578,2672.5696868896484,2682.9970550537109
gemv+32x21+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,223.56283378601074,222.75105476379395,223.72988510131836
gemv+129x31+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,912.17850494384766,902.63966369628906,924.37950134277344
symv+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,2485.5829467773438,2477.4487152099609,2492.7128601074219
ger+129x31+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,1946.8835296630859,1938.2018585205078,1948.0327606201172
syr+129+uniform+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,6684.6907348632812,6671.7116088867188,6712.5511474609375
syr2+129+uniform+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,9010.519775390625,8990.7496948242188,9128.3584594726562
trsv+129+triangular+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,3122.0555419921875,3113.0287475585938,3126.6553344726562
trmv+129+triangular+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,3531.3087768554688,3515.00634765625,3533.3567810058594
gemm+32x21x48+uniform,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,3321.6004028320312,3318.7789916992188,3337.8793029785156
gemm+129x31x257+uniform+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,81410.94677734375,81364.1162109375,81552.791015625
gemm+65x127x33+uniform+transB=T,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,22912.724609375,22856.54638671875,22942.52783203125
symm+129x31+uniform+side=L+uplo=L,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,43360.09716796875,43189.751708984375,43375.891357421875
symm+31x129+uniform+side=R+uplo=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,43420.283447265625,43419.489501953125,43468.492919921875
gemmt+129x31+uniform+uplo=L+transA=N+transB=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,48489.807373046875,48183.02294921875,48572.29150390625
syrk+129x31+uniform+uplo=L+transA=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,27086.0419921875,27071.530029296875,27206.345703125
syr2k+129x31+uniform+uplo=U+transA=T,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,45830.9580078125,45691.9208984375,45844.474609375
trsm+64x16+triangular+side=L+uplo=L+transA=N+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,6207.7711791992188,6173.982421875,6209.9971923828125
trsm+17x64+triangular+side=R+uplo=U+transA=T+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,9273.093505859375,9260.6456298828125,9294.6043090820312
trmm+64x16+triangular+side=L+uplo=U+transA=T+diag=N,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,4004.1591186523438,3989.9782104492188,4011.067138671875
trmm+17x64+triangular+side=R+uplo=L+transA=N+diag=U,ok,direct,reset-and-arithmetic,vendor-cblas,5,1,4670.8358459472656,4665.7036437988281,4683.9356384277344
gemm-tile+4x4x32+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,5,1,373.14350509643555,372.98852157592773,373.34524154663086
gemm-tile+3x2x31+uniform+packed=4x4,ok,partial,vendor-arithmetic,vendor-cblas,5,1,308.48115730285645,307.1019344329834,308.77238845825195
packed-trsm+4x4+triangular+packed=4x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,5,1,279.50509834289551,278.59419250488281,279.68349647521973
packed-trsm+3x2+triangular+packed=4x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,5,1,253.26265335083008,251.9806957244873,253.55034637451172
gemm-trsm+4x4x32+triangular+packed=4x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,5,1,574.58327102661133,573.60419464111328,575.80168151855469
gemm-trsm+3x2x31+triangular+packed=4x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,5,1,461.62378692626953,459.02043914794922,465.75442504882812
gemm-tile+8x4x32+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,5,1,433.52675628662109,432.74256134033203,434.82462692260742
gemm-tile+7x2x31+uniform+packed=8x4,ok,partial,vendor-arithmetic,vendor-cblas,5,1,360.17903900146484,359.2025203704834,361.88312721252441
packed-trsm+8x4+triangular+packed=8x4+uplo=L+diag=N,ok,partial,vendor-arithmetic,vendor-cblas,5,1,316.27593994140625,315.00486755371094,316.4450511932373
packed-trsm+7x2+triangular+packed=8x4+uplo=U+diag=U,ok,partial,vendor-arithmetic,vendor-cblas,5,1,271.38449287414551,271.10092544555664,272.79037475585938
gemm-trsm+8x4x32+triangular+packed=8x4+uplo=L+diag=N,ok,composed,vendor-arithmetic,vendor-cblas,5,1,673.11640930175781,669.63949584960938,674.90322113037109
gemm-trsm+7x2x31+triangular+packed=8x4+uplo=U+diag=U,ok,composed,vendor-arithmetic,vendor-cblas,5,1,532.71160507202148,530.83429336547852,536.019287109375
pack-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-left+4x4+uniform+packed=4x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=4x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-left+4x4+triangular+packed=4x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=4x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-right+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+3x31+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-left-padding+4x32+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+31x2+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
clear-right-padding+32x4+uniform+packed=4x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+31x2+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-right+32x4+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-left+8x8+uniform+packed=8x4+uplo=L,unsupported,unsupported,layout,unavailable,0,0,,,
pack-symmetric-right+4x4+uniform+packed=8x4+uplo=U,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-left+8x8+triangular+packed=8x4+uplo=L+diag=N,unsupported,unsupported,layout,unavailable,0,0,,,
pack-triangular-right+4x4+triangular+packed=8x4+uplo=U+diag=U,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+7x31+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
write-left+8x32+uniform+packed=8x4,unsupported,unsupported,layout,unavailable,0,0,,,
